,original_file_name,target_file_name,is_uploaded,google_drive_id
1,Tata Ibadah Minggu 24 Oktober 2021,2021-10-24,TRUE,1R-j3giX1pmExZmtOWGLYLEb3ThkTUI_0
2,Tata Ibadah Minggu 31 Oktober 2021,2021-10-31,TRUE,1k-fmTbppbzk8K_VGkblcEv9w5JTeA9mX
3,Tata Ibadah 7 November 2021,2021-11-07,TRUE,1e5srsA_IGPafvQGw3Rm7yxbWvfeR-b2w
4,Tata Ibadah Minggu 14 November 2021,2021-11-14,TRUE,1XccSQtsjh_plZyoOFzFj1asXCRR1oaxK
5,Tata Ibadah Minggu 21 November 2021,2021-11-21,TRUE,1LXsWzV7_NhQMVSj7av0Cr1pgOKVwa99V
6,Tata Ibadah Minggu 26 Desember 2021,2021-12-26,TRUE,1liT8SQSXjVBSmb6CO5ElBsYTlwwJB_xG
7,Tata Ibadah Minggu 2 Januari 2022,2022-01-02,TRUE,1042Ah-ZA3iEbxUJGgxz52oiRwiRwEWb7
8,Tata Ibadah Minggu 16 Januari 2022,2022-01-16,TRUE,19fqPirvY0mMPa-QEJBoWt0TEXpfhW_R4
9,Tata Ibadah Minggu 23 Januari 2022,2022-01-23,TRUE,1SHZJAB8HBWkWX6a4vJeoQzWyn6icwD7e
10,Tata Ibadah Minggu 30 Januari 2022,2022-01-30,TRUE,1MTMwkTQ0cFpTha8v9XmyugFu8gEIisDo
11,Tata Ibadah Minggu 6 Februari 2022,2022-02-06,TRUE,1AV_AcG-GTovlbq_ncHLKsp5iLmL0jYez
12,Tata Ibadah Minggu 13 Februari 2022,2022-02-13,TRUE,14qVXjxHdfo9W5RkYQLFG8hzNyEm_h_pO
13,Tata Ibadah 20 Februari 2022,2022-02-20,TRUE,1yJuooqD80lVse8NquEa5Bx9zsV0zgF_Y
14,Tata Ibadah Minggu 12 Maret 2022,2022-03-12,TRUE,1hPkAjwX8jr5UbB5nZWQsyhO44BHnB7MQ
15,Tata Ibadah Minggu 13 Maret 2022,2022-03-13,TRUE,1gKL974wkajcvvEfGASVO2fwsGfzGdPps
16,Tata Ibadah Minggu 20 Maret 2022,2022-03-20,TRUE,1nafrVIt73FraHLFewddy40fq0WtKJfmz
17,Tata Ibadah Minggu 27 Maret 2022,2022-03-27,TRUE,19IqQOeeRLB4tZZxkZ9aR8iR_5z702YC4
18,Tata Ibadah Minggu 3 April 2022,2022-04-03,TRUE,1_sUM8fHJ1xpwQpfXJme_gCNzA4vWytO_
19,Tata Ibadah Minggu Palmarum 10 April 2022,2022-04-10,TRUE,1-NHj4O2TyR-qrWbhr6icAiEm9lYaB3Du
20,Tata Ibadah Minggu Paskah 17 April 2022 (Paskah Subuh),2022-04-17,TRUE,1ngKFG9OAJO2gTE6clp1de1ImysN7_9de
21,Tata Ibadah Minggu 24 April 2022,2022-04-24,TRUE,1k2b27yTC33GP1jNH_VK9RFyk0EkaP05e
22,Tata Ibadah Minggu 1 Mei 2022,2022-05-01,TRUE,1UncHHjIRcGH6UIXBPFVgyrhxSW2s1Dtu
23,Tata Ibadah Minggu 8 Mei 2022,2022-05-08,TRUE,1agrgt6r90gFyzoI1dpNlkFT0fxNXNTT2
24,Tata Ibadah Minggu 15 Mei 2022,2022-05-15,TRUE,1w4NyLukSM5K33LDmnwp54kL647kzK9M1
25,Tata Ibadah Kenaikan Tuhan Yesus Ke Sorga - 26 Mei 2022,2022-05-26,TRUE,1u3wV3jwtP8XgO0z40ekfnKyHRl5Am3M3
26,Tata Ibadah Minggu 29 Mei 2022,2022-05-29,TRUE,1qN-EWsj362whnMVKO8mR88QSJkOHxbQD
27,Tata Ibadah Minggu Trinitas 12 Juni 2022,2022-06-12,TRUE,1fen-tvHmELwIAgkRR5_UaacOKnAMkOnQ
28,Tata Ibadah Minggu 19 Juni 2022,2022-06-19,TRUE,1hrHafBf9hQ5rzvnNwNHrdw0O7g88qtzS
29,Tata Ibadah Minggu 26 Juni 2022,2022-06-26,TRUE,1G9jI1_FPlUdt19iFHoydt-C41ezmNTyW
30,Tata Ibadah Minggu 3 Juli 2022,2022-07-03,TRUE,14xVWtDUmEqOcv9tKqSttME78AzWOOgzY
31,Tata Ibadah Minggu 10 Juli 2022,2022-07-10,TRUE,1t29DsI6q_xqHGaGTk0-wtOy-gWiZZpNE
32,Tata Ibadah Minggu 17 Juli 2022,2022-07-17,TRUE,1q53bBGuewYyAtwTpg_jnWauYOC9p6rZg
33,Tata Ibadah Minggu (Hari Anak Nasional) – 24 Juli 2022,2022-07-24,TRUE,1mDbaHWwla9YBfoVEyI6cUNZdDS3GgZ6z
34,Tata Ibadah Minggu 31 Juli 2022,2022-07-31,TRUE,17x6ljQGlWPN4Ju6MOyfK24iUHndxxMkK
35,Tata Ibadah Minggu 14 Agustus 2022,2022-08-14,TRUE,13D3xqU-uyJGwjKxC5PBaSfMdJnG-hStu
36,Tata Ibadah Minggu 21 Agustus 2022,2022-08-21,TRUE,1uUVjNX7lSEeUsZAERF-sT-CfxnlDyVwY
37,Tata Ibadah HUT Ke-34 Sinode GKI – 28 Agustus 2022,2022-08-28,TRUE,1eh8shsvstG3062HOrZCEQ1QhWkZEw4GA
38,Tata Ibadah Minggu 4 September 2022,2022-09-04,TRUE,1Fkr8uEE0pau1pDvUbB36-n8PrFSOJL2w
39,Tata Ibadah Minggu 11 September 2022,2022-09-11,TRUE,1XJOV2c5208ezfQJcHSgMIRgJavR_s8QI
40,Tata Ibadah Minggu 18 September 2022,2022-09-18,TRUE,1uv3p1PxYpiRZeMyJf5w2LULFPC3Mr9hs
41,Tata Ibadah Minggu 25 September 2022,2022-09-25,TRUE,1hzM6S4XDzbUWg9C6XKrIFs2r_ayRwmZX
42,Tata Ibadah Minggu 2 Oktober 2022,2022-10-02,TRUE,17Mkf2PYDckw9So6PI0Ap5LN69NWD58hZ
43,Tata Ibadah Minggu 9 Oktober 2022,2022-10-09,TRUE,1jzGvNvx79BaKRFXyonn3q8u2C8jFdu24
44,Tata Ibadah Minggu 16 Oktober 2022,2022-10-16,TRUE,14gAVMiBTHiAlcktPXV3iO1KMz-CijZII
45,Tata Ibadah Minggu 23 Oktober 2022,2022-10-23,TRUE,1WLy0dIpJwhb90LyFrospv3Da19igqizS
46,Tata Ibadah 30 Oktober 2022,2022-10-30,TRUE,1co_PdT8nzGHrTIswG5S3v1eJVR-5C3QD
47,Tata Ibadah Minggu 6 November 2022,2022-11-06,TRUE,1HsclvIewdbnaRDNGm7REceaxbcLZXz_V
48,Tata Ibadah Minggu 13 November 2022,2022-11-13,TRUE,1YnChzUX0DBSdLdBMEzUJBKvrwRexzoN4
49,Tata Ibadah Minggu 20 November 2022,2022-11-20,TRUE,1wOcm47MhNZMcZ6FhkGfJyPtzJu1eeGGG
50,Tata Ibadah Minggu Adven 1 – 27 November 2022,2022-11-27,TRUE,1eHE_SUTOCr_K787uI3uJyW_Htbg7Y2K0
51,Tata Ibadah Minggu Adven III – 11 Desember 2022,2022-12-11,TRUE,1nc_F4Yx5Ub3jNH6Aut-sRFuBA0k9l0zJ
52,Tata Ibadah Minggu Adven IV – 18 Desember 2022,2022-12-18,TRUE,1qXSM2gI7zAdpbZ4H-JiGWpZu8mfMnuB1
53,Liturgi Malam Natal 24 Desember 2022,2022-12-24,TRUE,1AEs8GfVDbUqKgK25zPS-N-lqC5l1QrDt
54,Tata Ibadah Tutup Tahun 31 Desember 2022,2022-12-31,TRUE,1w0a3Bnv73hQfQoMnahXCrEmRD-quB9qo
55,Tata Ibadah Minggu Tahun Baru 1 Januari 2023,2023-01-01,TRUE,17C71SIO3emtGeE7AI_6QJU-s_OmBPT4_
56,Tata Ibadah Minggu Epifani 8 Januari 2023,2023-01-08,TRUE,1mcfgfQ1ShGraW-rOlC48Quce8gLt3byL
57,Tata Ibadah Minggu 29 Januari 2023,2023-01-29,TRUE,1WDwbkF3YEZ3YM3nOAkwe1gfKx5h-ggly
58,Tata Ibadah Minggu 5 Februari 2023,2023-02-05,TRUE,1Ikriw-5-b6oZeIG_eSD-7JPL1zqUfpLd
59,Tata Ibadah Minggu 12 Februari 2023,2023-02-12,TRUE,1pHmZxmvA5UFuOW1dfkxPWojC_6Itk5ze
60,Tata Ibadah 19 Februari 2023,2023-02-19,TRUE,1MN3Yt0EW73emYaPPia42ONH6iSMDpJi_
61,Tata Ibadah 26 Februari 2023,2023-02-26,TRUE,1KTlqURFh5bPM4N-37zDZz-NwXCnU_V4k
62,Tata Ibadah Minggu 19 Maret 2023,2023-03-19,TRUE,1VLDeoMn-zFL9K43hVzPPeuLlkn5Top1t
63,Tata Ibadah 2 April 2023 (Minggu Palmarum),2023-04-02,TRUE,1dSIymPZ_0WYUaTrO8c8TZl7odteNT_3j
64,Liturgi Minggu Paskah 9 April 2023,2023-04-09,TRUE,1kofyrH259YytnGKCy7YDYQ6CKEYJkkDO
65,Tata Ibadah 16 April 2023,2023-04-16,TRUE,1MjokUr818m8EoGzEI8A2l7Iw0ezmfkVL
66,Tata Ibadah Minggu 23 April 2023,2023-04-23,TRUE,1vqzGLR1SFusmE7Z9XAR8ibX8hdM5Wkk8
67,Tata Ibadah Minggu 30 April 2023,2023-04-30,TRUE,1_mq5FQj0PDXPAlow-zP_1ngQfJzD3TDt
68,Tata Ibadah 7 Mei 2023,2023-05-07,TRUE,1dBZBAleH1KishnRN7Z0W4jvhzZNtzj1J
69,Tata Ibadah 14 Mei 2023,2023-05-14,TRUE,1yDnmWMhzrKeu2mcqZ7NezPowUjim-96b
70,Tata Ibadah Kenaikan Tuhan Yesus – 18 Mei 2023,2023-05-18,TRUE,1_aLVUDo2U7vEvurG7fOBHXkubByz2BBN
71,Tata Ibadah Minggu 21 Mei 2023,2023-05-21,TRUE,1glUFrAs00eCtCfN7k7cgL-4ijkfzN6gT
