,original_file_name,target_file_name,is_uploaded,google_drive_id
1,Warta Jemaat 24 Oktober 2021,2021-10-24,TRUE,1E3iE-RITVinibC-mRsuxvkIn0zItHspM
2,Warta Jemaat 31 Oktober 2021,2021-10-31,TRUE,19E-QM9b662YZlZmhw7BhhY4CER6TnhNR
3,Warta Jemaat 7 November 2021,2021-11-07,TRUE,1MgFGsZ0B2YpfbpKKuiugHclAGMXzxlia
4,Warta Jemaat 26 Desember 2021,2021-12-26,TRUE,18aJkZRv7fzYJhNKOTs4UE9Q3VzRlfKfR
5,Warta Jemaat 2 Januari 2022,2022-01-02,TRUE,10d_c7OAfkp1lVTYVZRwvvCuiIH724Zbo
6,Warta Jemaat 16 Januari 2022,2022-01-16,TRUE,19HlfiQuUVKPpI2_CmVA9lyBuN9hz7If3
7,Warta Jemaat 23 Januari 2022,2022-01-23,TRUE,1-aSzCODQdFsumDtWr9Xz3hY-YGGvF7D-
8,Warta Jemaat 30 Januari 2022,2022-01-30,TRUE,1l7rogwJnMQwpC6WFfHkqVHs0z3iE_3nd
9,Warta Jemaat 6 Februari 2022,2022-02-06,TRUE,1Ag_bIST8ReB2XzmsoXbs6657hbrZ0bha
10,Warta Jemaat 13 Februari 2022,2022-02-13,TRUE,1wTsG9e5bXsiZMzjgog5Z92wqPrlikhA2
11,Warta Jemaat 20 Februari 2022,2022-02-20,TRUE,1uTRwvh8OfTiqlU849CqZdeDok79nrqOG
12,Warta Jemaat 27 Februari 2022,2022-02-27,TRUE,1c2ZJ0XhsaXp_FqQwTV0Jw0LLDUDDSxSb
13,Warta Jemaat 5 Maret 2022,2022-03-05,TRUE,1jwZv5YI6y3QKH3mL4FyBUuSE0H161C7F
14,Warta Jemaat 6 Maret 2022,2022-03-06,TRUE,1b9_4RnrqoRwwVSLLTqWBGxSubREr5bNo
15,Warta Jemaat 12 Maret 2022,2022-03-12,TRUE,1a3eCGPyk2NCr56vkOnHw7uIsoQlT97zz
16,Warta Jemaat 13 Maret 2022,2022-03-13,TRUE,1WhotKQr0X7YhiuG6pF8G7px_Jmb-5Rps
